,Player,Runs,Average,SR,HS,Innings,Buff
38,CH Morris,395,43.88888888888889,172.4890829694323,82,20,229
39,CJ Anderson,159,15.9,109.65517241379308,41,14,145
40,CJ Dala,0,0.0,0.0,0,0,0
41,CJ Jordan,3,1.5,60.0,3,2,5
42,CR Brathwaite,170,15.454545454545455,168.31683168316832,43,12,101
43,CR Woakes,63,10.5,95.45454545454544,18,11,66
44,D Wiese,5,5.0,125.0,5,1,4
45,DA Miller,318,21.2,115.63636363636364,31,20,275
46,DA Warner,1489,59.56,147.13438735177866,126,31,1012
47,DJ Bravo,240,20.0,138.72832369942196,68,23,173
48,DJ Hooda,309,14.714285714285715,121.65354330708662,34,29,254
49,DJ Willey,0,0.0,0.0,0,0,0
50,DJM Short,115,16.428571428571427,116.16161616161615,44,7,99
51,DL Chahar,64,16.0,182.85714285714286,39,5,35
52,DM Bravo,6,6.0,120.0,6,1,5
53,DR Shorey,8,8.0,88.8888888888889,8,1,9
54,DR Smith,563,25.59090909090909,149.3368700265252,74,24,377
55,DS Kulkarni,34,8.5,136.0,10,8,25
56,DT Christian,105,15.0,128.04878048780492,17,12,82
57,DW Steyn,1,1.0,50.0,1,1,2
58,E Lewis,382,29.384615384615387,138.40579710144928,65,13,276
59,EJG Morgan,188,20.88888888888889,112.5748502994012,51,10,167
60,ER Dwivedi,24,12.0,171.42857142857142,19,2,14
61,F Behardien,14,7.0,107.69230769230771,9,3,13
62,F du Plessis,376,31.33333333333333,126.17449664429529,69,13,298
63,G Gambhir,1084,36.13333333333333,122.07207207207209,90,36,888
64,GB Hogg,0,0.0,0.0,0,1,0
65,GJ Bailey,84,21.0,85.71428571428571,34,5,98
66,GJ Maxwell,658,21.225806451612907,155.55555555555554,68,36,423
67,Gurkeerat Singh,113,22.6,131.3953488372093,51,6,86
68,H Klaasen,57,19.0,121.27659574468086,32,4,47
69,Harbhajan Singh,137,17.125,100.73529411764706,45,17,136
70,HH Pandya,554,24.08695652173913,132.53588516746407,50,38,418
71,HM Amla,577,44.384615384615394,141.76904176904173,104,16,407
72,HV Patel,60,60.0,181.8181818181818,36,3,33
73,I Sharma,8,4.0,66.66666666666666,5,4,12
74,IK Pathan,13,3.25,81.25,7,4,16
75,Imran Tahir,7,7.0,63.63636363636363,5,3,11
76,Iqbal Abdulla,42,14.0,123.52941176470587,33,3,34
77,IR Jaggi,33,33.0,84.61538461538461,28,2,39
78,IS Sodhi,1,1.0,16.666666666666664,1,1,6
79,Ishan Kishan,594,22.0,137.81902552204178,62,27,431
80,J Suchith,0,0.0,0.0,0,0,0
81,J Yadav,6,3.0,60.0,5,2,10
82,JA Morkel,16,16.0,177.77777777777774,16,1,9
83,JC Archer,15,3.0,71.42857142857143,8,8,21
84,JC Buttler,1075,34.67741935483871,150.56022408963585,95,37,714
85,JD Unadkat,51,12.75,118.6046511627907,26,9,43
86,JJ Bumrah,34,11.333333333333336,100.0,16,7,34
87,JJ Roy,179,29.83333333333333,133.58208955223878,91,8,134
88,JO Holder,22,5.5,115.7894736842105,13,4,19
89,JP Duminy,227,37.833333333333336,115.81632653061224,49,12,196
90,JP Faulkner,131,18.714285714285715,112.93103448275863,32,11,116
91,JPR Scantlebury-Searles,8,8.0,133.33333333333331,6,2,6
92,JW Hastings,0,0.0,0.0,0,0,0
93,K Gowtham,126,14.0,196.875,33,13,64
94,K Khejroliya,0,0.0,0.0,0,0,0
95,K Rabada,55,18.33333333333333,85.9375,44,3,64
96,KA Pollard,725,25.892857142857146,139.4230769230769,70,36,520
97,KC Cariappa,15,5.0,83.33333333333334,12,4,18
98,KD Karthik,1194,36.18181818181818,138.51508120649652,65,44,862
99,KH Pandya,708,30.782608695652176,153.91304347826087,86,33,460
100,KJ Abbott,13,13.0,162.5,12,3,8
101,KK Ahmed,0,0.0,0.0,0,0,0
102,KK Nair,939,26.82857142857143,126.20967741935483,83,37,744
103,KL Rahul,1056,50.28571428571429,153.7117903930131,95,26,687
104,KM Asif,0,0.0,0.0,0,0,0
105,KM Jadhav,333,27.75,138.75,69,17,240
106,KP Pietersen,73,36.5,119.672131147541,37,4,61
107,KS Williamson,1115,42.884615384615394,138.16604708798016,89,30,807
108,Kuldeep Yadav,32,10.666666666666666,69.56521739130434,16,5,46
109,KV Sharma,85,14.166666666666664,119.71830985915493,26,10,71
110,KW Richardson,1,1.0,100.0,1,1,1
111,L Ngidi,0,0.0,0.0,0,0,0
112,LE Plunkett,1,1.0,33.33333333333333,1,2,3
113,LH Ferguson,1,1.0,100.0,1,1,1
114,LMP Simmons,145,18.125,120.83333333333331,66,8,120
115,M Ashwin,1,0.5,33.33333333333333,1,2,3
116,M Markande,21,10.5,87.5,7,6,24
117,M Morkel,1,0.5,100.0,1,2,1
118,M Prasidh Krishna,1,0.5,20.0,1,2,5
119,M Vijay,465,33.214285714285715,124.33155080213905,89,15,374
120,M Vohra,445,22.25,132.04747774480708,95,20,337
121,MA Agarwal,173,10.8125,118.4931506849315,30,17,146
122,MA Wood,1,1.0,33.33333333333333,1,1,3
123,Mandeep Singh,440,22.0,121.21212121212122,52,23,363
124,MC Henriques,459,25.5,127.14681440443212,55,26,361
125,MG Johnson,41,20.5,97.61904761904762,13,8,42
126,MJ Guptill,189,21.0,132.16783216783216,50,10,143
127,MJ Henry,0,0.0,0.0,0,0,0
128,MJ McClenaghan,61,6.777777777777778,127.08333333333331,20,17,48
129,MK Lomror,20,20.0,95.23809523809523,11,2,21
130,MK Pandey,928,34.37037037037037,125.91587516960651,81,37,737
131,MK Tiwary,371,28.538461538461537,132.5,60,17,280
132,MM Ali,77,19.25,167.3913043478261,65,4,46
133,MM Patel,0,0.0,0.0,0,1,1
134,MM Sharma,93,8.454545454545455,104.49438202247192,15,17,89
135,MN Samuels,29,7.25,93.54838709677419,27,4,31
136,Mohammad Nabi,20,6.666666666666668,133.33333333333331,14,3,15
137,Mohammed Shami,45,9.0,132.35294117647058,21,9,34
138,Mohammed Siraj,25,12.5,113.63636363636364,14,4,22
139,MP Stoinis,262,23.818181818181817,125.96153846153842,52,15,208
140,MR Marsh,7,7.0,63.63636363636363,7,1,11
141,MS Dhoni,1029,42.875,135.03937007874015,79,42,762
142,MS Gony,0,0.0,0.0,0,0,0
143,Mujeeb Ur Rahman,10,10.0,142.85714285714286,10,2,7
144,Mustafizur Rahman,1,1.0,33.33333333333333,1,2,3
145,N Rana,741,27.444444444444446,129.7723292469352,70,30,571
146,NB Singh,0,0.0,0.0,0,0,0
