,Player,Runs,Wickets,Overs,Balls,Average,SR,Economy
154,P Sahu,146,3,17.5,105,48.66666666666666,35.0,8.342857142857143
155,PA Patel,0,0,0.0,315,0.0,0.0,0.0
156,Parvez Rasool,129,1,14.0,84,129.0,84.0,9.214285714285714
157,PJ Cummins,373,15,46.16666666666666,277,24.86666666666667,18.466666666666665,8.079422382671481
158,PJ Sangwan,249,5,24.0,144,49.8,28.8,10.375
159,PP Chawla,864,31,104.33333333333334,626,27.87096774193548,20.193548387096776,8.281150159744406
160,PP Shaw,0,0,0.0,294,0.0,0.0,0.0
161,PSP Handscomb,0,0,0.0,294,0.0,0.0,0.0
162,PV Tambe,143,5,16.0,96,28.6,19.2,8.9375
163,Q de Kock,0,0,0.0,192,0.0,0.0,0.0
164,R Ashwin,729,20,94.66666666666666,568,36.45,28.4,7.700704225352113
165,R Bhatia,299,8,41.0,246,37.375,30.75,7.292682926829267
166,R Dhawan,56,2,7.0,42,28.0,21.0,8.0
167,R Sathish,59,1,6.0,36,59.0,36.0,9.833333333333334
168,R Tewatia,222,9,31.0,186,24.66666666666667,20.666666666666668,7.161290322580645
169,R Vinay Kumar,160,7,15.833333333333336,95,22.857142857142854,13.571428571428573,10.105263157894736
170,RA Jadeja,963,24,119.16666666666666,715,40.125,29.79166666666667,8.081118881118881
171,RA Tripathi,12,0,1.0,252,0.0,0.0,12.0
172,Rashid Khan,816,38,122.0,732,21.473684210526315,19.263157894736842,6.688524590163934
173,RD Chahar,58,2,7.0,42,29.0,21.0,8.285714285714286
174,RG Sharma,0,0,0.0,126,0.0,0.0,0.0
175,RK Bhui,0,0,0.0,42,0.0,0.0,0.0
176,RK Singh,0,0,0.0,42,0.0,0.0,0.0
177,RP Singh,111,3,12.0,72,37.0,24.0,9.25
178,RR Pant,0,0,0.0,216,0.0,0.0,0.0
179,RV Uthappa,0,0,0.0,216,0.0,0.0,0.0
180,S Aravind,491,16,59.66666666666667,358,30.6875,22.375,8.229050279329607
181,S Badree,188,9,25.0,150,20.88888888888889,16.666666666666668,7.52
182,S Dhawan,0,0,0.0,450,0.0,0.0,0.0
183,S Gopal,254,11,34.0,204,23.09090909090909,18.545454545454547,7.470588235294117
184,S Kaul,847,37,101.66666666666666,610,22.89189189189189,16.486486486486488,8.331147540983608
185,S Kaushik,297,6,34.0,204,49.5,34.0,8.735294117647058
186,S Ladda,21,0,2.0,12,0.0,0.0,10.5
187,S Lamichhane,82,5,12.0,72,16.4,14.4,6.833333333333332
188,S Nadeem,407,11,47.83333333333333,287,37.0,26.09090909090909,8.508710801393729
189,SA Yadav,0,0,0.0,321,0.0,0.0,0.0
190,Sachin Baby,8,2,1.6666666666666663,117,4.0,58.5,4.800000000000002
191,Sandeep Sharma,1097,44,142.0,852,24.931818181818183,19.363636363636363,7.725352112676057
192,SB Jakati,230,2,25.0,150,115.0,75.0,9.2
193,SE Marsh,0,0,0.0,60,0.0,0.0,0.0
194,Shakib Al Hasan,730,19,91.0,546,38.42105263157895,28.73684210526316,8.021978021978024
195,Shivam Mavi,270,5,28.0,168,54.0,33.6,9.642857142857142
196,Shubman Gill,0,0,0.0,168,0.0,0.0,0.0
197,SK Raina,184,1,22.0,300,184.0,300.0,8.363636363636363
198,SL Malinga,382,11,44.83333333333334,269,34.72727272727273,24.45454545454545,8.520446096654275
199,SM Boland,54,2,7.0,42,27.0,21.0,7.7142857142857135
200,SN Khan,0,0,0.0,84,0.0,0.0,0.0
201,SN Thakur,746,27,84.83333333333333,509,27.62962962962963,18.85185185185185,8.793713163064831
202,SP Goswami,0,0,0.0,280,0.0,0.0,0.0
203,SP Jackson,0,0,0.0,280,0.0,0.0,0.0
