batsman,bowler,0,1,2,3,4,6,notout
Bipul Sharma,A Zampa,0.204705306524531,0.578273221804106,0.9260046965334787,0.9260046965334787,0.9595051320276453,1.0,1
Bipul Sharma,MM Sharma,0.32889324547078475,0.32889324547078475,0.795847585257198,0.795847585257198,1.0,1.0,0.9487324230829464
Bipul Sharma,AR Patel,0.466210726911134,0.7964900041349798,0.9044675453918609,0.9044675453918609,0.9641514014809583,1.0,0.9816053303593495
Bipul Sharma,TM Head,0.2630355191576694,0.6056581402922245,0.938530199267859,0.938530199267859,0.938530199267859,1.0,0.9309399542813183
Bipul Sharma,P Negi,0.22193274650014214,0.8298071055869297,0.9384059042091335,0.9384059042091335,0.9384059042091335,1.0,0.9697910892513357
Bipul Sharma,AJ Tye,0.41290697583800207,0.5045888968036137,0.9704751088249914,0.9704751088249914,0.9998015499642815,1.0,1
Bipul Sharma,R Bhatia,0.3451055459996182,0.8755237232272317,0.8755237232272317,0.8755237232272317,0.8755237232272317,0.9999999999999998,1
Bipul Sharma,Mustafizur Rahman,0.007208483286368733,0.007208483286368733,0.007208483286368733,0.007208483286368733,0.8723188765280849,1.0,1.0
Bipul Sharma,Basil Thampi,0.3141342443333952,0.6369847353491623,0.6369847353491623,0.6369847353491623,0.9300993937475109,0.9999999999999999,0.9974657045638203
Bipul Sharma,AF Milne,0.47190934232773224,0.5496614509232998,0.8722701846565093,0.8722701846565093,1.0,1.0,1
Bipul Sharma,AB Dinda,0.6483685809056262,0.6483685809056262,0.8943858124972843,0.8943858124972843,0.8943858124972843,1.0,0.9936785722369845
Bipul Sharma,Mohammed Shami,0.465319632929451,0.465319632929451,0.6720302047915216,0.6720302047915216,0.9523531808715227,1.0000000000000002,1
Bipul Sharma,Bipul Sharma,0.497874531629351,1.0,1.0,1.0,1.0,1.0,0.9664330191949664
Bipul Sharma,DT Christian,0.27642002155502016,0.5984787580027958,0.9753271750137997,0.9753271750137997,0.9890785902357027,1.0000000000000002,1
Bipul Sharma,JD Unadkat,0.5159064535980157,0.770478296651284,0.9804162114414456,0.9804162114414456,0.9999999999999999,0.9999999999999999,0.7801309000202477
Bipul Sharma,KC Cariappa,0.0,0.44256502719403734,0.805322690395511,0.805322690395511,0.9739361954509861,1.0,0.9501429510857913
Bipul Sharma,MP Stoinis,0.24093838231178283,0.838480630411016,0.9540774482850627,0.9540774482850627,1.0,1.0,1
Bipul Sharma,Mohammad Nabi,0.6921447076567474,0.8983865304799947,0.9454883015202262,0.9454883015202262,1.0,1.0,0.9937004947122587
Bipul Sharma,I Sharma,0.3909809370671298,0.3909809370671298,0.9754880621450481,0.9754880621450481,0.9754880621450481,1.0,1.0
Bipul Sharma,CJ Anderson,0.281637006097048,0.6482556221427986,0.89385614285222,0.89385614285222,0.89385614285222,1.0,0.9907947800333211
Bipul Sharma,Swapnil Singh,0.45731716018029067,0.868058539258184,1.0,1.0,1.0,1.0,1
Bipul Sharma,S Nadeem,0.6755196760125112,0.6755196760125112,0.6755196760125112,0.6755196760125112,0.6755196760125112,1.0,1
Bipul Sharma,JP Faulkner,0.34751883274771644,0.34751883274771644,0.7179650600864447,0.7179650600864447,0.8675058576136403,1.0,0.9379073179084002
Bipul Sharma,S Kaul,0.337438308428601,0.8954524146428118,0.8967865058849214,0.8967865058849214,1.0,1.0,1
Bipul Sharma,SR Watson,0.1264150712310803,0.7198177967337288,0.7198177967337288,0.7198177967337288,0.9479555045543738,1.0,1
Bipul Sharma,YS Chahal,0.016790956930161634,0.6344348897853154,0.9103439277788703,0.9103439277788703,0.9349597074326009,1.0000000000000002,1
Bipul Sharma,CR Woakes,0.6486590263027366,0.6653300262050396,0.8233119433539341,0.8233119433539341,0.8373446045935226,0.9999999999999999,0.9896583532622544
Bipul Sharma,Kuldeep Yadav,0.5418423536032168,0.9226413682541946,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1
Bipul Sharma,DR Smith,0.4092675613065786,0.7811054546135308,0.7811054546135308,0.7811054546135308,0.8749505865861705,1.0,1
Bipul Sharma,J Yadav,0.22876192854107458,0.643789705276159,0.9014669530314949,0.9014669530314949,0.9587049341966336,1.0,1.0
Bipul Sharma,BB Sran,0.6948023278934743,0.9718418302376322,0.9718418302376322,0.9718418302376322,0.9999999999999999,0.9999999999999999,1.0
Bipul Sharma,Sandeep Sharma,0.4478786129583185,0.5355786962450372,0.8245054055521233,0.8245054055521233,0.8923039515825046,0.9999999999999999,0.9237271253411258
Bipul Sharma,RA Tripathi,0.0,0.5362517441671076,0.5362517441671076,0.5362517441671076,1.0,1.0,1.0
Bipul Sharma,IK Pathan,0.5812389748624985,0.7328659615133684,0.9549504896713116,0.9549504896713116,1.0,1.0,0.8989554896012828
Bipul Sharma,HH Pandya,0.6123030921158824,0.6123030921158824,0.6123030921158824,0.6123030921158824,0.6892817848083376,1.0,1
Bipul Sharma,Yuvraj Singh,0.319798227644931,0.6978540740011203,0.6978540740011203,0.6978540740011203,0.6978540740011203,1.0,1
Bipul Sharma,VR Aaron,0.4990058051234517,0.4990058051234517,0.8758663711165243,0.8758663711165243,0.8758663711165243,1.0,0.9792365816932057
Bipul Sharma,LH Ferguson,0.5533673736676001,0.9168105185601942,0.9204757642356991,0.9204757642356991,0.9204757642356991,1.0,0.9816008101299658
Bipul Sharma,MN Samuels,0.36072097196925224,0.36072097196925224,0.8874087778560096,0.8874087778560096,1.0000000000000002,1.0000000000000002,1.0
