batman,bowler,0,1,2,3,4,6,notout,balls
S Dhawan,JD Unadkat,0.375,0.625,0.6875,0.6875,0.9375,1,1,16
HM Amla,RA Jadeja,0.1875,0.75,0.8125,0.8125,0.9375,1,1,16
KD Karthik,MM Sharma,0.3125,0.875,0.9375,0.9375,1,1,1,16
SP Narine,S Badree,0.25,0.375,0.4375,0.4375,0.75,1,1,16
SP Narine,S Aravind,0.3125,0.5,0.5625,0.5625,0.9375,1,1,16
AM Rahane,MG Johnson,0.375,0.75,0.8125,0.8125,0.9375,1,0.9375,16
AJ Finch,PJ Cummins,0.4375,0.6875,0.8125,0.8125,1,1,1,16
SPD Smith,MJ McClenaghan,0.4,0.6666666667,0.7333333333,0.7333333333,1,1,1,15
SK Raina,SP Narine,0.1333333333,0.8666666667,0.8666666667,0.8666666667,1,1,1,15
AM Rahane,Sandeep Sharma,0.4,0.9333333333,1,1,1,1,1,15
DA Warner,Tejas Baroka,0.4,0.6666666667,0.7333333333,0.7333333333,0.8666666667,1,1,15
Mandeep Singh,Sandeep Sharma,0.7333333333,0.9333333333,1,1,1,1,1,15
Mandeep Singh,VR Aaron,0.6666666667,0.8,0.8666666667,0.8666666667,1,1,0.9333333333,15
Mandeep Singh,AR Patel,0.4,0.9333333333,1,1,1,1,1,15
S Dhawan,SL Malinga,0.4,0.8,0.9333333333,0.9333333333,1,1,1,15
KA Pollard,P Negi,0.4,0.6666666667,0.8,0.8,0.8,1,1,15
BA Stokes,DR Smith,0.1333333333,0.6666666667,0.7333333333,0.7333333333,0.9333333333,1,1,15
CJ Anderson,AR Patel,0.3333333333,0.7333333333,0.8,0.8,0.8,1,1,15
RA Tripathi,S Aravind,0.4666666667,0.7333333333,0.8,0.8,0.8666666667,1,1,15
SPD Smith,S Badree,0.2666666667,0.6666666667,0.6666666667,0.6666666667,0.9333333333,1,1,15
V Kohli,DT Christian,0.4666666667,0.7333333333,1,1,1,1,0.9333333333,15
M Vohra,Rashid Khan,0.3333333333,0.5333333333,0.5333333333,0.5333333333,0.8,1,1,15
V Kohli,DS Kulkarni,0.3333333333,0.6,0.7333333333,0.7333333333,1,1,0.9333333333,15
KS Williamson,PJ Cummins,0.4,0.6666666667,0.8666666667,0.8666666667,0.9333333333,1,1,15
KS Williamson,A Mishra,0.1333333333,0.6,0.8,0.8,0.8666666667,1,1,15
SV Samson,B Kumar,0.6,0.6666666667,0.8666666667,0.8666666667,1,1,1,15
SS Iyer,S Kaul,0.4666666667,0.8666666667,0.9333333333,0.9333333333,1,1,1,15
K Rabada,JJ Bumrah,0.5333333333,0.8666666667,0.8666666667,0.8666666667,1,1,0.9333333333,15
K Rabada,Harbhajan Singh,0.4666666667,0.8666666667,0.8666666667,0.8666666667,0.9333333333,1,1,15
RA Tripathi,UT Yadav,0.4,0.6666666667,0.6666666667,0.6666666667,0.9333333333,1,1,15
RA Tripathi,CR Woakes,0.4666666667,0.8666666667,0.8666666667,0.8666666667,1,1,0.9333333333,15
MS Dhoni,Ankit Soni,0.6666666667,0.8,1,1,1,1,1,15
RA Tripathi,NM Coulter-Nile,0.5333333333,0.5333333333,0.5333333333,0.5333333333,0.8666666667,1,1,15
SS Iyer,JP Faulkner,0.3333333333,0.6,0.7333333333,0.7333333333,0.9333333333,1,0.9333333333,15
HM Amla,DS Kulkarni,0.4666666667,0.8,0.9333333333,0.9333333333,0.9333333333,1,1,15
MK Tiwary,PJ Cummins,0.5333333333,0.8,0.8,0.8,0.8666666667,1,0.9333333333,15
AT Rayudu,SP Narine,0.4,0.8,0.8,0.8,1,1,1,15
AM Rahane,HH Pandya,0,0.5714285714,0.6428571429,0.6428571429,0.9285714286,1,1,14
SPD Smith,KH Pandya,0.1428571429,0.5714285714,0.8571428571,0.8571428571,0.9285714286,1,1,14
MS Dhoni,MJ McClenaghan,0.5,0.8571428571,0.8571428571,0.8571428571,0.8571428571,1,1,14
G Gambhir,DS Kulkarni,0.3571428571,0.7857142857,0.7857142857,0.7857142857,1,1,1,14
DA Warner,P Kumar,0.5,0.7142857143,0.7857142857,0.7857142857,1,1,1,14
KH Pandya,SP Narine,0.6428571429,0.7857142857,0.7857142857,0.7857142857,1,1,1,14
Mandeep Singh,MM Sharma,0.5,0.7857142857,0.8571428571,0.8571428571,0.9285714286,1,1,14
SV Samson,A Zampa,0.4285714286,0.5714285714,0.8571428571,0.8571428571,0.8571428571,1,0.9285714286,14
DA Warner,Harbhajan Singh,0.5,0.7142857143,0.7142857143,0.7142857143,0.9285714286,1,0.9285714286,14
SP Narine,Sandeep Sharma,0.5,0.7142857143,0.7142857143,0.7142857143,0.9285714286,1,1,14
P Negi,JJ Bumrah,0.2857142857,0.7142857143,0.9285714286,0.9285714286,0.9285714286,1,0.9285714286,14
KA Pollard,S Aravind,0.4285714286,0.8571428571,1,1,1,1,1,14
MK Pandey,Bipul Sharma,0.4285714286,0.7142857143,0.9285714286,0.9285714286,0.9285714286,1,1,14
S Dhawan,TA Boult,0.4285714286,0.8571428571,0.8571428571,0.8571428571,1,1,1,14
SV Samson,Sandeep Sharma,0.7142857143,0.7857142857,0.7857142857,0.7857142857,1,1,0.9285714286,14
BB McCullum,SL Malinga,0.3571428571,0.6428571429,0.7142857143,0.7142857143,0.8571428571,1,0.8571428571,14
Ishan Kishan,MJ McClenaghan,0.5,0.7142857143,0.7142857143,0.7142857143,0.9285714286,1,0.9285714286,14
RA Tripathi,AF Milne,0.5714285714,0.7142857143,0.7857142857,0.7857142857,1,1,1,14
MK Tiwary,AF Milne,0.3571428571,0.6428571429,0.7857142857,0.7857142857,0.9285714286,1,0.9285714286,14
KM Jadhav,Imran Tahir,0.2142857143,0.9285714286,1,1,1,1,1,14
SV Samson,Kuldeep Yadav,0.2857142857,0.7857142857,0.9285714286,0.9285714286,0.9285714286,1,1,14
DA Warner,MM Sharma,0.2142857143,0.6428571429,0.7142857143,0.7142857143,1,1,1,14
AJ Finch,YS Chahal,0.3571428571,0.7142857143,0.7857142857,0.7857142857,0.8571428571,1,1,14
Ishan Kishan,S Aravind,0.4285714286,0.5,0.5714285714,0.5714285714,0.7857142857,1,1,14
DA Warner,J Yadav,0.5714285714,0.8571428571,0.8571428571,0.8571428571,0.9285714286,1,1,14
