batsman,bowler,0,1,2,3,4,6,notout
Bipul Sharma,A Zampa,0.204705306524531,0.37356791527957506,0.34773147472937266,0.0,0.03350043549416662,0.04049486797235473,1,
Bipul Sharma,MM Sharma,0.32889324547078475,0.0,0.4669543397864133,0.0,0.20415241474280196,0.0,0.9487324230829464,
Bipul Sharma,AR Patel,0.466210726911134,0.33027927722384576,0.10797754125688114,0.0,0.059683856089097403,0.03584859851904172,0.9816053303593495,
Bipul Sharma,TM Head,0.2630355191576694,0.34262262113455516,0.3328720589756344,0.0,0.0,0.06146980073214108,0.9309399542813183,
Bipul Sharma,P Negi,0.22193274650014214,0.6078743590867876,0.10859879862220376,0.0,0.0,0.061594095790866554,0.9697910892513357,
Bipul Sharma,AJ Tye,0.41290697583800207,0.09168192096561166,0.46588621202137775,0.0,0.029326441139290064,0.00019845003571847958,1,
Bipul Sharma,R Bhatia,0.3451055459996182,0.5304181772276135,0.0,0.0,0.0,0.12447627677276808,1,
Bipul Sharma,Mustafizur Rahman,0.007208483286368733,0.0,0.0,0.0,0.8651103932417162,0.12768112347191507,1.0,
Bipul Sharma,Basil Thampi,0.3141342443333952,0.3228504910157671,0.0,0.0,0.2931146583983486,0.06990060625248892,0.9974657045638203,
Bipul Sharma,AF Milne,0.47190934232773224,0.07775210859556747,0.3226087337332096,0.0,0.12772981534349068,0.0,1,
Bipul Sharma,AB Dinda,0.6483685809056262,0.0,0.24601723159165811,0.0,0.0,0.10561418750271574,0.9936785722369845,
Bipul Sharma,Mohammed Shami,0.465319632929451,0.0,0.20671057186207062,0.0,0.28032297608000095,0.047646819128477465,1,
Bipul Sharma,Bipul Sharma,0.497874531629351,0.502125468370649,0.0,0.0,0.0,0.0,0.9664330191949664,
Bipul Sharma,DT Christian,0.27642002155502016,0.32205873644777566,0.3768484170110039,0.0,0.013751415221902893,0.010921409764297474,1,
Bipul Sharma,JD Unadkat,0.5159064535980157,0.2545718430532683,0.20993791479016166,0.0,0.019583788558554208,0.0,0.7801309000202477,
Bipul Sharma,KC Cariappa,0.0,0.44256502719403734,0.3627576632014736,0.0,0.16861350505547512,0.02606380454901386,0.9501429510857913,
Bipul Sharma,MP Stoinis,0.24093838231178283,0.5975422480992332,0.11559681787404677,0.0,0.04592255171493726,0.0,1,
Bipul Sharma,Mohammad Nabi,0.6921447076567474,0.20624182282324735,0.04710177104023148,0.0,0.05451169847977375,0.0,0.9937004947122587,
Bipul Sharma,I Sharma,0.3909809370671298,0.0,0.5845071250779184,0.0,0.0,0.024511937854951878,1.0,
Bipul Sharma,CJ Anderson,0.281637006097048,0.3666186160457507,0.24560052070942137,0.0,0.0,0.10614385714777991,0.9907947800333211,
Bipul Sharma,Swapnil Singh,0.45731716018029067,0.4107413790778933,0.131941460741816,0.0,0.0,0.0,1,
Bipul Sharma,S Nadeem,0.6755196760125112,0.0,0.0,0.0,0.0,0.3244803239874889,1,
Bipul Sharma,JP Faulkner,0.34751883274771644,0.0,0.3704462273387282,0.0,0.14954079752719565,0.1324941423863597,0.9379073179084002,
Bipul Sharma,S Kaul,0.337438308428601,0.5580141062142108,0.001334091242109557,0.0,0.10321349411507859,0.0,1,
Bipul Sharma,SR Watson,0.1264150712310803,0.5934027255026485,0.0,0.0,0.22813770782064505,0.05204449544562613,1,
Bipul Sharma,YS Chahal,0.016790956930161634,0.6176439328551537,0.2759090379935549,0.0,0.024615779653730598,0.06504029256739921,1,
Bipul Sharma,CR Woakes,0.6486590263027366,0.016670999902302967,0.15798191714889454,0.0,0.014032661239588443,0.16265539540647733,0.9896583532622544,
Bipul Sharma,Kuldeep Yadav,0.5418423536032168,0.3807990146509779,0.07735863174580557,0.0,0.0,0.0,1,
Bipul Sharma,DR Smith,0.4092675613065786,0.37183789330695216,0.0,0.0,0.09384513197263979,0.1250494134138294,1,
Bipul Sharma,J Yadav,0.22876192854107458,0.4150277767350844,0.25767724775533596,0.0,0.05723798116513866,0.04129506580336637,1.0,
Bipul Sharma,BB Sran,0.6948023278934743,0.27703950234415786,0.0,0.0,0.02815816976236778,0.0,1.0,
Bipul Sharma,Sandeep Sharma,0.4478786129583185,0.08770008328671872,0.28892670930708614,0.0,0.06779854603038139,0.10769604841749524,0.9237271253411258,
Bipul Sharma,RA Tripathi,0.0,0.5362517441671076,0.0,0.0,0.4637482558328923,0.0,1.0,
Bipul Sharma,IK Pathan,0.5812389748624985,0.15162698665086988,0.22208452815794322,0.0,0.04504951032868845,0.0,0.8989554896012828,
Bipul Sharma,HH Pandya,0.6123030921158824,0.0,0.0,0.0,0.07697869269245514,0.3107182151916625,1,
Bipul Sharma,Yuvraj Singh,0.319798227644931,0.37805584635618933,0.0,0.0,0.0,0.3021459259988798,1,
Bipul Sharma,VR Aaron,0.4990058051234517,0.0,0.3768605659930726,0.0,0.0,0.12413362888347566,0.9792365816932057,
Bipul Sharma,LH Ferguson,0.5533673736676001,0.3634431448925941,0.003665245675504879,0.0,0.0,0.07952423576430089,0.9816008101299658,
Bipul Sharma,MN Samuels,0.36072097196925224,0.0,0.5266878058867573,0.0,0.1125912221439906,0.0,1.0,
Bipul Sharma,SN Thakur,0.44335495409719694,0.2762388645681041,0.13770953656718124,0.0,0.14269664476751764,0.0,1,
Bipul Sharma,K Rabada,0.7681913616740363,0.0,0.1598539100066898,0.0,0.056628508768729324,0.015326219550544463,0.9465662035313884,
Bipul Sharma,SB Jakati,0.09046271356518124,0.0,0.6462379257880678,0.0,0.05842083099333655,0.20487852965341447,1.0,
