batid,bowlid,batsman,bowler,0,1,2,3,4,6,out,batclustno,bowlclustno,balls
17,147,SR Watson,B Kumar,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,5,0,3,
192,147,STR Binny,B Kumar,0.5,0.5,0.0,0.0,0.0,0.0,0.5,2,0,2,
89,147,S Aravind,B Kumar,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,1,
17,159,SR Watson,A Nehra,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,5,3,3,
89,159,S Aravind,A Nehra,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4,3,1,
163,159,YS Chahal,A Nehra,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,2,
158,147,TS Mills,B Kumar,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,3,0,3,
163,147,YS Chahal,B Kumar,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,3,0,3,
163,163,YS Chahal,BCJ Cutting,0.5,0.5,0.0,0.0,0.0,0.0,0.0,3,3,2,
21,163,A Choudhary,BCJ Cutting,0.5,0.0,0.0,0.0,0.0,0.5,0.5,4,3,2,
11,160,PA Patel,AB Dinda,0.5833333333333334,0.16666666666666666,0.0,0.0,0.25,0.0,0.0,5,3,12,
200,160,JC Buttler,AB Dinda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,1,
200,165,JC Buttler,DL Chahar,0.5454545454545454,0.0,0.09090909090909093,0.0,0.2727272727272727,0.09090909090909093,0.0,1,5,11,
11,213,PA Patel,BA Stokes,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,4,1,
200,213,JC Buttler,BA Stokes,0.7142857142857143,0.0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,1,4,7,
11,219,PA Patel,Imran Tahir,0.5,0.0,0.0,0.0,0.5,0.0,0.5,5,4,2,
205,219,RG Sharma,Imran Tahir,0.5238095238095238,0.2380952380952381,0.047619047619047616,0.0,0.14285714285714285,0.047619047619047616,0.047619047619047616,4,4,21,
200,219,JC Buttler,Imran Tahir,0.5,0.5,0.0,0.0,0.0,0.0,0.5,1,4,2,
205,165,RG Sharma,DL Chahar,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,5,1,
10,219,N Rana,Imran Tahir,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,5,4,3,
197,219,AT Rayudu,Imran Tahir,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,4,1,
197,213,AT Rayudu,BA Stokes,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1,4,3,
10,213,N Rana,BA Stokes,0.6363636363636364,0.2727272727272727,0.0,0.0,0.0,0.09090909090909093,0.0,5,4,11,
197,180,AT Rayudu,A Zampa,0.2222222222222222,0.5555555555555556,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,1,2,9,
10,180,N Rana,A Zampa,0.4,0.3,0.1,0.0,0.1,0.1,0.1,5,2,10,
10,204,N Rana,R Bhatia,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,5,2,9,
197,204,AT Rayudu,R Bhatia,0.25,0.5,0.25,0.0,0.0,0.0,0.25,1,2,4,
7,204,KH Pandya,R Bhatia,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,5,2,3,
7,213,KH Pandya,BA Stokes,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,5,4,3,
6,204,KA Pollard,R Bhatia,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,2,2,
6,219,KA Pollard,Imran Tahir,0.3333333333333333,0.4444444444444444,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,5,4,9,
6,180,KA Pollard,A Zampa,0.16666666666666666,0.5,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,5,2,6,
221,180,HH Pandya,A Zampa,0.4,0.4,0.0,0.0,0.0,0.2,0.0,5,2,10,
221,219,HH Pandya,Imran Tahir,0.2,0.8,0.0,0.0,0.0,0.0,0.0,5,4,5,
221,160,HH Pandya,AB Dinda,0.3636363636363637,0.18181818181818185,0.0,0.0,0.09090909090909093,0.3636363636363637,0.09090909090909093,5,3,11,
6,160,KA Pollard,AB Dinda,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,5,3,3,
221,213,HH Pandya,BA Stokes,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,5,4,6,
6,213,KA Pollard,BA Stokes,0.3333333333333333,0.5,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,5,4,6,
96,213,TG Southee,BA Stokes,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,4,4,3,
196,234,AM Rahane,TG Southee,0.5,0.3,0.0,0.0,0.1,0.1,0.1,1,4,10,
180,234,MA Agarwal,TG Southee,0.25,0.5,0.0,0.0,0.25,0.0,0.0,3,4,4,
196,218,AM Rahane,HH Pandya,0.0,0.5714285714285714,0.07142857142857142,0.0,0.2857142857142857,0.07142857142857142,0.0,1,4,14,
180,218,MA Agarwal,HH Pandya,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,1,
180,151,MA Agarwal,MJ McClenaghan,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1,1,
16,151,SPD Smith,MJ McClenaghan,0.4,0.26666666666666666,0.06666666666666668,0.0,0.26666666666666666,0.0,0.0,5,1,15,
196,151,AM Rahane,MJ McClenaghan,0.35,0.25,0.1,0.0,0.25,0.05,0.0,1,1,20,
196,150,AM Rahane,JJ Bumrah,0.3125,0.5,0.0,0.125,0.0625,0.0,0.0,1,1,16,
16,150,SPD Smith,JJ Bumrah,0.18181818181818185,0.5909090909090909,0.13636363636363635,0.0,0.045454545454545456,0.045454545454545456,0.0,5,1,22,
16,218,SPD Smith,HH Pandya,0.3333333333333333,0.5555555555555556,0.1111111111111111,0.0,0.0,0.0,0.0,5,4,9,
16,221,SPD Smith,KH Pandya,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.0,0.07142857142857142,0.07142857142857142,0.0,5,4,14,
196,221,AM Rahane,KH Pandya,0.2727272727272727,0.5454545454545454,0.0,0.0,0.13636363636363635,0.045454545454545456,0.0,1,4,22,
16,234,SPD Smith,TG Southee,0.5,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,5,4,6,
214,234,BA Stokes,TG Southee,0.16666666666666666,0.5,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0,4,6,
214,150,BA Stokes,JJ Bumrah,0.125,0.375,0.375,0.0,0.125,0.0,0.0,0,1,8,
16,117,SPD Smith,KA Pollard,0.0,0.42857142857142855,0.0,0.0,0.14285714285714285,0.42857142857142855,0.0,5,0,7,
214,117,BA Stokes,KA Pollard,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0,0,3,
214,218,BA Stokes,HH Pandya,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0,4,2,
204,218,MS Dhoni,HH Pandya,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,4,1,
204,150,MS Dhoni,JJ Bumrah,0.4,0.4,0.05,0.0,0.05,0.1,0.15,1,1,20,
204,151,MS Dhoni,MJ McClenaghan,0.5,0.35714285714285715,0.0,0.0,0.0,0.14285714285714285,0.0,1,1,14,
204,117,MS Dhoni,KA Pollard,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,2,
175,233,JJ Roy,TA Boult,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,2,4,6,
1,227,BB McCullum,PP Chawla,0.4,0.4,0.0,0.0,0.0,0.2,0.0,5,4,5,
175,227,JJ Roy,PP Chawla,0.6666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,2,4,6,
1,155,BB McCullum,SP Narine,0.38461538461538464,0.2307692307692308,0.15384615384615385,0.0,0.2307692307692308,0.0,0.0,5,1,13,
175,155,JJ Roy,SP Narine,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1,1,
209,227,SK Raina,PP Chawla,0.2,0.6,0.2,0.0,0.0,0.0,0.0,1,4,10,
209,155,SK Raina,SP Narine,0.13333333333333333,0.7333333333333333,0.0,0.0,0.13333333333333333,0.0,0.0,1,1,15,
209,216,SK Raina,CR Woakes,0.2,0.35,0.1,0.0,0.3,0.05,0.0,1,4,20,
