batsman,bowler,0,1,2,3,4,6,out,batclustno,bowlclustno,balls
TS Mills,B Kumar,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,3,0,3
YS Chahal,B Kumar,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,3,0,3
YS Chahal,BCJ Cutting,0.5,0.5,0.0,0.0,0.0,0.0,0.0,3,3,2
A Choudhary,BCJ Cutting,0.5,0.0,0.0,0.0,0.0,0.5,0.5,4,3,2
PA Patel,AB Dinda,0.5833333333333334,0.16666666666666666,0.0,0.0,0.25,0.0,0.0,5,3,12
JC Buttler,AB Dinda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,1
JC Buttler,DL Chahar,0.5454545454545454,0.0,0.09090909090909091,0.0,0.2727272727272727,0.09090909090909091,0.0,1,5,11
PA Patel,BA Stokes,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,4,1
JC Buttler,BA Stokes,0.7142857142857143,0.0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,1,4,7
PA Patel,Imran Tahir,0.5,0.0,0.0,0.0,0.5,0.0,0.5,5,4,2
RG Sharma,Imran Tahir,0.5238095238095238,0.23809523809523808,0.047619047619047616,0.0,0.14285714285714285,0.047619047619047616,0.047619047619047616,4,4,21
JC Buttler,Imran Tahir,0.5,0.5,0.0,0.0,0.0,0.0,0.5,1,4,2
RG Sharma,DL Chahar,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,5,1
N Rana,Imran Tahir,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,5,4,3
AT Rayudu,Imran Tahir,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,4,1
AT Rayudu,BA Stokes,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1,4,3
N Rana,BA Stokes,0.6363636363636364,0.2727272727272727,0.0,0.0,0.0,0.09090909090909091,0.0,5,4,11
AT Rayudu,A Zampa,0.2222222222222222,0.5555555555555556,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,1,2,9
N Rana,A Zampa,0.4,0.3,0.1,0.0,0.1,0.1,0.1,5,2,10
N Rana,R Bhatia,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,5,2,9
AT Rayudu,R Bhatia,0.25,0.5,0.25,0.0,0.0,0.0,0.25,1,2,4
KH Pandya,R Bhatia,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,5,2,3
KH Pandya,BA Stokes,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,5,4,3
KA Pollard,R Bhatia,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,2,2
KA Pollard,Imran Tahir,0.3333333333333333,0.4444444444444444,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,5,4,9
KA Pollard,A Zampa,0.16666666666666666,0.5,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,5,2,6
HH Pandya,A Zampa,0.4,0.4,0.0,0.0,0.0,0.2,0.0,5,2,10
HH Pandya,Imran Tahir,0.2,0.8,0.0,0.0,0.0,0.0,0.0,5,4,5
HH Pandya,AB Dinda,0.36363636363636365,0.18181818181818182,0.0,0.0,0.09090909090909091,0.36363636363636365,0.09090909090909091,5,3,11
KA Pollard,AB Dinda,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,5,3,3
HH Pandya,BA Stokes,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,5,4,6
KA Pollard,BA Stokes,0.3333333333333333,0.5,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,5,4,6
TG Southee,BA Stokes,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,4,4,3
AM Rahane,TG Southee,0.5,0.3,0.0,0.0,0.1,0.1,0.1,1,4,10
MA Agarwal,TG Southee,0.25,0.5,0.0,0.0,0.25,0.0,0.0,3,4,4
AM Rahane,HH Pandya,0.0,0.5714285714285714,0.07142857142857142,0.0,0.2857142857142857,0.07142857142857142,0.0,1,4,14
MA Agarwal,HH Pandya,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,1
MA Agarwal,MJ McClenaghan,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1,1
SPD Smith,MJ McClenaghan,0.4,0.26666666666666666,0.06666666666666667,0.0,0.26666666666666666,0.0,0.0,5,1,15
AM Rahane,MJ McClenaghan,0.35,0.25,0.1,0.0,0.25,0.05,0.0,1,1,20
AM Rahane,JJ Bumrah,0.3125,0.5,0.0,0.125,0.0625,0.0,0.0,1,1,16
SPD Smith,JJ Bumrah,0.18181818181818182,0.5909090909090909,0.13636363636363635,0.0,0.045454545454545456,0.045454545454545456,0.0,5,1,22
SPD Smith,HH Pandya,0.3333333333333333,0.5555555555555556,0.1111111111111111,0.0,0.0,0.0,0.0,5,4,9
SPD Smith,KH Pandya,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.0,0.07142857142857142,0.07142857142857142,0.0,5,4,14
AM Rahane,KH Pandya,0.2727272727272727,0.5454545454545454,0.0,0.0,0.13636363636363635,0.045454545454545456,0.0,1,4,22
SPD Smith,TG Southee,0.5,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,5,4,6
BA Stokes,TG Southee,0.16666666666666666,0.5,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0,4,6
BA Stokes,JJ Bumrah,0.125,0.375,0.375,0.0,0.125,0.0,0.0,0,1,8
SPD Smith,KA Pollard,0.0,0.42857142857142855,0.0,0.0,0.14285714285714285,0.42857142857142855,0.0,5,0,7
BA Stokes,KA Pollard,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0,0,3
BA Stokes,HH Pandya,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0,4,2
MS Dhoni,HH Pandya,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,4,1
MS Dhoni,JJ Bumrah,0.4,0.4,0.05,0.0,0.05,0.1,0.15,1,1,20
MS Dhoni,MJ McClenaghan,0.5,0.35714285714285715,0.0,0.0,0.0,0.14285714285714285,0.0,1,1,14
MS Dhoni,KA Pollard,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,2
JJ Roy,TA Boult,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,2,4,6
BB McCullum,PP Chawla,0.4,0.4,0.0,0.0,0.0,0.2,0.0,5,4,5
JJ Roy,PP Chawla,0.6666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,2,4,6
BB McCullum,SP Narine,0.38461538461538464,0.23076923076923078,0.15384615384615385,0.0,0.23076923076923078,0.0,0.0,5,1,13
JJ Roy,SP Narine,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1,1
SK Raina,PP Chawla,0.2,0.6,0.2,0.0,0.0,0.0,0.0,1,4,10
SK Raina,SP Narine,0.13333333333333333,0.7333333333333333,0.0,0.0,0.13333333333333333,0.0,0.0,1,1,15
SK Raina,CR Woakes,0.2,0.35,0.1,0.0,0.3,0.05,0.0,1,4,20
BB McCullum,Kuldeep Yadav,0.5,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,5,5,6
SK Raina,Kuldeep Yadav,0.17391304347826086,0.6521739130434783,0.043478260869565216,0.0,0.08695652173913043,0.043478260869565216,0.043478260869565216,1,5,23
BB McCullum,CR Woakes,0.75,0.25,0.0,0.0,0.0,0.0,0.25,5,4,4
AJ Finch,Kuldeep Yadav,0.5,0.5,0.0,0.0,0.0,0.0,0.25,5,5,4
SK Raina,YK Pathan,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,2
AJ Finch,YK Pathan,0.25,0.25,0.0,0.0,0.0,0.5,0.0,5,0,4
KD Karthik,Kuldeep Yadav,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1,5,3
SK Raina,TA Boult,0.2727272727272727,0.45454545454545453,0.0,0.0,0.2727272727272727,0.0,0.0,1,4,11
KD Karthik,TA Boult,0.375,0.25,0.0,0.0,0.375,0.0,0.125,1,4,8
KD Karthik,SP Narine,0.2857142857142857,0.42857142857142855,0.0,0.0,0.2857142857142857,0.0,0.0,1,1,7
KD Karthik,PP Chawla,0.0,0.75,0.0,0.0,0.0,0.25,0.0,1,4,4
KD Karthik,CR Woakes,0.0,0.5,0.0,0.0,0.25,0.25,0.0,1,4,4
G Gambhir,P Kumar,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,1,0,6
CA Lynn,P Kumar,0.16666666666666666,0.6666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,5,0,6
G Gambhir,DS Kulkarni,0.35714285714285715,0.42857142857142855,0.0,0.0,0.21428571428571427,0.0,0.0,1,4,14
CA Lynn,DS Kulkarni,0.2,0.2,0.2,0.0,0.1,0.3,0.0,5,4,10
G Gambhir,MS Gony,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.0,0.4444444444444444,0.0,0.0,1,5,9
CA Lynn,MS Gony,0.6666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,5,5,6
G Gambhir,S Kaushik,0.38461538461538464,0.23076923076923078,0.0,0.0,0.38461538461538464,0.0,0.0,1,2,13
CA Lynn,S Kaushik,0.45454545454545453,0.2727272727272727,0.0,0.0,0.18181818181818182,0.09090909090909091,0.0,5,2,11
CA Lynn,DR Smith,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.5,0.0,5,5,6
CA Lynn,SB Jakati,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.0,0.0,0.0,0.0,5,2,7
G Gambhir,SB Jakati,0.23076923076923078,0.38461538461538464,0.3076923076923077,0.0,0.07692307692307693,0.0,0.0,1,2,13
AM Rahane,Sandeep Sharma,0.4,0.5333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,1,5,15
MA Agarwal,Sandeep Sharma,1.0,0.0,0.0,0.0,0.0,0.0,0.25,3,5,4
SPD Smith,Sandeep Sharma,0.25,0.5,0.0,0.0,0.25,0.0,0.0,5,5,8
AM Rahane,MM Sharma,0.25,0.5,0.0,0.0,0.125,0.125,0.0,1,5,8
SPD Smith,MM Sharma,0.6,0.4,0.0,0.0,0.0,0.0,0.0,5,5,5
SPD Smith,AR Patel,0.25,0.75,0.0,0.0,0.0,0.0,0.0,5,5,12
AM Rahane,AR Patel,0.125,0.75,0.0,0.0,0.125,0.0,0.0,1,5,8
SPD Smith,T Natarajan,0.4,0.2,0.2,0.0,0.2,0.0,0.0,5,0,5
AM Rahane,T Natarajan,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,1
BA Stokes,AR Patel,0.36363636363636365,0.45454545454545453,0.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0,5,11
SPD Smith,MP Stoinis,1.0,0.0,0.0,0.0,0.0,0.0,0.5,5,3,2
BA Stokes,MP Stoinis,0.1111111111111111,0.5555555555555556,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0,0,3,9
MS Dhoni,MP Stoinis,0.625,0.375,0.0,0.0,0.0,0.0,0.0,1,3,8
BA Stokes,Swapnil Singh,0.0,0.8,0.0,0.0,0.0,0.2,0.0,0,5,5
MS Dhoni,Swapnil Singh,0.6,0.4,0.0,0.0,0.0,0.0,0.2,1,5,5
MK Tiwary,Swapnil Singh,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,5,2
BA Stokes,T Natarajan,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,5
MK Tiwary,T Natarajan,0.14285714285714285,0.5714285714285714,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,2,0,7
MK Tiwary,AR Patel,0.25,0.75,0.0,0.0,0.0,0.0,0.0,2,5,4
MK Tiwary,MP Stoinis,0.0,0.5,0.0,0.0,0.5,0.0,0.0,2,3,2
BA Stokes,MM Sharma,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0,5,4
MK Tiwary,MM Sharma,0.0,0.6666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,2,5,6
DT Christian,AR Patel,0.5,0.5,0.0,0.0,0.0,0.0,0.0,4,5,2
DT Christian,MM Sharma,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,5,2
MK Tiwary,Sandeep Sharma,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,5,2
DT Christian,Sandeep Sharma,0.25,0.0,0.0,0.0,0.5,0.25,0.25,4,5,4
HM Amla,AB Dinda,0.5714285714285714,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.0,0,3,7
M Vohra,AB Dinda,0.4,0.4,0.0,0.0,0.0,0.2,0.2,0,3,5
M Vohra,DT Christian,0.5,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.0,0,3,6
HM Amla,DT Christian,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0,3,4
WP Saha,DT Christian,0.6,0.2,0.0,0.0,0.2,0.0,0.2,5,3,5
WP Saha,BA Stokes,0.2857142857142857,0.42857142857142855,0.0,0.0,0.2857142857142857,0.0,0.0,5,4,7
HM Amla,BA Stokes,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0,4,3
HM Amla,Imran Tahir,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0,4,4
WP Saha,Imran Tahir,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5,4,1
AR Patel,Imran Tahir,0.375,0.5,0.0,0.0,0.125,0.0,0.125,5,4,8
AR Patel,BA Stokes,0.75,0.25,0.0,0.0,0.0,0.0,0.0,5,4,12
AR Patel,RD Chahar,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.1111111111111111,0.0,5,5,9
HM Amla,RD Chahar,0.5,0.5,0.0,0.0,0.0,0.0,0.16666666666666666,0,5,6
HM Amla,R Bhatia,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,2,3
AR Patel,R Bhatia,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,5,2,3
GJ Maxwell,Imran Tahir,0.16666666666666666,0.5,0.0,0.0,0.0,0.3333333333333333,0.0,5,4,6
DA Miller,Imran Tahir,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0,4,5
GJ Maxwell,RD Chahar,0.42857142857142855,0.2857142857142857,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,5,5,7
DA Miller,RD Chahar,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0,5,6
DA Miller,R Bhatia,0.6,0.2,0.0,0.0,0.0,0.2,0.0,0,2,5
GJ Maxwell,R Bhatia,0.5,0.0,0.0,0.0,0.5,0.0,0.0,5,2,2
GJ Maxwell,BA Stokes,0.42857142857142855,0.2857142857142857,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,5,4,7
DA Miller,BA Stokes,0.5,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.0,0,4,6
GJ Maxwell,AB Dinda,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,3,1
DA Miller,AB Dinda,0.2,0.2,0.4,0.0,0.0,0.2,0.0,0,3,5
CH Gayle,Z Khan,0.6153846153846154,0.23076923076923078,0.0,0.0,0.15384615384615385,0.0,0.0,5,5,13
SR Watson,Z Khan,0.4,0.2,0.0,0.0,0.4,0.0,0.0,5,5,5
SR Watson,CH Morris,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,5,4,3
CH Gayle,CH Morris,0.8,0.0,0.0,0.0,0.2,0.0,0.2,5,4,5
SR Watson,PJ Cummins,0.375,0.375,0.125,0.0,0.125,0.0,0.0,5,3,8
CH Gayle,PJ Cummins,0.375,0.625,0.0,0.0,0.0,0.0,0.0,5,3,8
Mandeep Singh,CH Morris,0.75,0.0,0.0,0.0,0.25,0.0,0.0,4,4,4
SR Watson,S Nadeem,0.6363636363636364,0.36363636363636365,0.0,0.0,0.0,0.0,0.09090909090909091,5,3,11
Mandeep Singh,S Nadeem,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,2
Mandeep Singh,PJ Cummins,0.5,0.0,0.0,0.0,0.5,0.0,0.25,4,3,4
KM Jadhav,PJ Cummins,0.5,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0,3,6
KM Jadhav,S Nadeem,0.2857142857142857,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0,3,7
KM Jadhav,A Mishra,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.0,0.18181818181818182,0.2727272727272727,0.0,0,1,11
SR Watson,A Mishra,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,1,1
STR Binny,S Nadeem,0.4,0.6,0.0,0.0,0.0,0.0,0.0,2,3,5
KM Jadhav,Z Khan,0.38461538461538464,0.46153846153846156,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0,5,13
STR Binny,Z Khan,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,2,5,7
STR Binny,PJ Cummins,0.25,0.5,0.0,0.0,0.25,0.0,0.0,2,3,4
STR Binny,CR Brathwaite,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,2,3,3
KM Jadhav,CR Brathwaite,0.125,0.25,0.125,0.0,0.25,0.25,0.0,0,3,8
Vishnu Vinod,CR Brathwaite,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,3,2
Vishnu Vinod,Z Khan,0.25,0.5,0.0,0.0,0.0,0.25,0.25,3,5,4
Iqbal Abdulla,CH Morris,0.5,0.5,0.0,0.0,0.0,0.0,0.0,4,4,4
P Negi,CH Morris,0.6,0.2,0.0,0.0,0.0,0.2,0.2,2,4,5
P Negi,PJ Cummins,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,2,3,3
Iqbal Abdulla,PJ Cummins,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,4,3,3
