batclustno,bowlclustno,0,1,2,3,4,6,notout
0,0,0.3712574850299401,0.784431137724551,0.8502994011976048,0.8622754491017964,0.970059880239521,1.0,0.9461077844311377
0,1,0.3082191780821918,0.7568493150684932,0.8493150684931507,0.8527397260273973,0.9554794520547946,1.0,0.976027397260274
0,2,0.3544973544973545,0.7513227513227513,0.8306878306878307,0.8412698412698413,0.9576719576719577,1.0,0.9523809523809523
0,3,0.3141891891891892,0.7027027027027026,0.7837837837837838,0.7837837837837838,0.9391891891891891,1.0,0.9628378378378378
0,4,0.3019390581717452,0.736842105263158,0.8088642659279779,0.8116343490304709,0.9584487534626039,1.0,0.9584487534626038
0,5,0.3404255319148936,0.7811550151975684,0.8358662613981762,0.8358662613981762,0.9513677811550152,1.0,0.9483282674772037
1,0,0.4035532994923858,0.7588832487309645,0.8375634517766497,0.8426395939086294,0.9568527918781726,1.0,0.9720812182741116
1,1,0.3484848484848485,0.7597402597402598,0.8181818181818182,0.8246753246753247,0.9437229437229437,1.0,0.9567099567099567
1,2,0.3342036553524804,0.7545691906005222,0.8302872062663186,0.8328981723237598,0.9425587467362925,1.0,0.9399477806788512
1,3,0.3897180762852405,0.7645107794361526,0.8325041459369819,0.8325041459369819,0.9485903814262024,0.998341625207297,0.9601990049751243
1,4,0.33292978208232443,0.7445520581113801,0.8062953995157385,0.8075060532687651,0.937046004842615,0.9975786924939467,0.9588377723970944
1,5,0.3577319587628866,0.765979381443299,0.8247422680412372,0.8257731958762887,0.9422680412371135,1.0,0.9587628865979382
2,0,0.4154929577464789,0.7605633802816901,0.8098591549295775,0.8098591549295775,0.9366197183098592,1.0,0.9225352112676056
2,1,0.3640552995391705,0.7649769585253456,0.847926267281106,0.8525345622119815,0.9539170506912442,1.0,0.935483870967742
2,2,0.5042735042735043,0.8376068376068375,0.8974358974358974,0.8974358974358974,0.9829059829059829,1.0,0.9401709401709402
2,3,0.3992537313432836,0.7686567164179106,0.8283582089552239,0.8283582089552239,0.9477611940298508,1.0,0.9589552238805971
2,4,0.4012539184952978,0.7962382445141065,0.8526645768025077,0.8526645768025077,0.9561128526645767,0.9999999999999999,0.9184952978056427
2,5,0.35687732342007433,0.7732342007434945,0.8364312267657993,0.8475836431226766,0.9442379182156134,1.0,0.9628252788104089
3,0,0.58,0.84,0.88,0.88,0.96,1.0,0.94
3,1,0.4583333333333333,0.75,0.8125,0.8125,0.9583333333333334,1.0,0.875
3,2,0.5714285714285714,0.8333333333333333,0.8809523809523809,0.8809523809523809,1.0,1.0,0.8333333333333334
3,3,0.4117647058823529,0.7941176470588235,0.8676470588235293,0.8676470588235293,0.9999999999999999,0.9999999999999999,0.9411764705882353
3,4,0.546875,0.84375,0.8828125,0.8828125,0.9921875,1.0,0.8828125
3,5,0.4935064935064935,0.8441558441558441,0.8831168831168831,0.8831168831168831,0.961038961038961,1.0,0.9090909090909091
4,0,0.4047619047619048,0.7761904761904761,0.8285714285714285,0.8285714285714285,0.9571428571428571,0.9999999999999999,0.9095238095238095
4,1,0.38545454545454544,0.8109090909090909,0.8763636363636363,0.8836363636363637,0.9854545454545455,1.0,0.9527272727272728
4,2,0.3791208791208791,0.8076923076923077,0.8846153846153846,0.8846153846153846,0.9835164835164835,1.0,0.9285714285714286
4,3,0.3669724770642202,0.7981651376146789,0.8746177370030581,0.8807339449541285,0.963302752293578,1.0,0.9235474006116208
4,4,0.427807486631016,0.7736185383244206,0.8431372549019607,0.8467023172905525,0.9554367201426024,0.9999999999999999,0.9340463458110517
4,5,0.4189814814814815,0.8148148148148149,0.8611111111111112,0.8634259259259259,0.9606481481481481,1.0,0.9444444444444444
5,0,0.4222560975609756,0.7378048780487805,0.8048780487804879,0.8079268292682927,0.9329268292682927,1.0,0.9420731707317073
5,1,0.3880813953488372,0.7616279069767442,0.813953488372093,0.8183139534883721,0.9418604651162791,1.0,0.9578488372093024
5,2,0.3453389830508475,0.7733050847457628,0.8220338983050848,0.8220338983050848,0.923728813559322,1.0,0.9576271186440678
5,3,0.3918770581778266,0.747530186608123,0.8100987925356751,0.8100987925356751,0.9473106476399561,1.0,0.9484083424807903
5,4,0.3891013384321224,0.7762906309751434,0.8279158699808795,0.8307839388145315,0.9521988527724665,1.0,0.9435946462715106
5,5,0.3741935483870968,0.767741935483871,0.8248847926267282,0.8276497695852536,0.9354838709677421,1.0000000000000002,0.9576036866359448
